batch_size,grad_accum_steps,effective_batch,micro_batches_per_epoch,optimizer_steps_per_epoch,avg_padded_tokens_per_micro_batch,padding_waste_pct,real_tokens_per_optimizer_step
1,1,1,2400,2400,184,0.0,184
1,4,4,2400,600,184,0.0,735
1,8,8,2400,300,184,0.0,1471
2,1,2,1200,1200,429,14.3,368
2,4,8,1200,300,429,14.3,1471
2,8,16,1200,150,429,14.3,2942
4,1,4,600,600,958,23.3,735
4,4,16,600,150,958,23.3,2942
4,8,32,600,75,958,23.3,5884
8,1,8,300,300,2064,28.7,1471
8,4,32,300,75,2064,28.7,5884
8,8,64,300,38,2064,28.7,11613
16,1,16,150,150,4309,31.7,2942
16,4,64,150,38,4309,31.7,11613
16,8,128,150,19,4309,31.7,23226
32,1,32,75,75,8864,33.6,5884
32,4,128,75,19,8864,33.6,23226
32,8,256,75,10,8864,33.6,44128
