batch_size,grad_accum_steps,effective_batch,micro_batches_per_epoch,optimizer_steps_per_epoch,avg_padded_tokens_per_micro_batch,padding_waste_pct,real_tokens_per_optimizer_step
1,1,1,2400,2400,167,0.0,167
1,4,4,2400,600,167,0.0,668
1,8,8,2400,300,167,0.0,1335
2,1,2,1200,1200,392,14.9,334
2,4,8,1200,300,392,14.9,1335
2,8,16,1200,150,392,14.9,2670
4,1,4,600,600,879,24.1,668
4,4,16,600,150,879,24.1,2670
4,8,32,600,75,879,24.1,5341
8,1,8,300,300,1895,29.5,1335
8,4,32,300,75,1895,29.5,5341
8,8,64,300,38,1895,29.5,10541
16,1,16,150,150,3950,32.4,2670
16,4,64,150,38,3950,32.4,10541
16,8,128,150,19,3950,32.4,21082
32,1,32,75,75,8091,34.0,5341
32,4,128,75,19,8091,34.0,21082
32,8,256,75,10,8091,34.0,40055
