label,tokens_total,tokens_trainable,truncated
POSITIVE,87,4,0
NEGATIVE,84,4,0
POSITIVE,149,4,0
NEUTRAL,267,5,0
NEGATIVE,153,4,0
NEUTRAL,251,5,0
NEUTRAL,192,5,0
POSITIVE,201,4,0
NEGATIVE,104,4,0
NEUTRAL,157,5,0
NEGATIVE,226,4,0
NEGATIVE,167,4,0
POSITIVE,168,4,0
NEUTRAL,185,5,0
NEUTRAL,217,5,0
NEGATIVE,234,4,0
POSITIVE,159,4,0
NEUTRAL,128,5,0
NEGATIVE,239,4,0
NEGATIVE,124,4,0
NEUTRAL,206,5,0
POSITIVE,192,4,0
NEGATIVE,248,4,0
NEUTRAL,189,5,0
NEUTRAL,136,5,0
POSITIVE,221,4,0
NEUTRAL,177,5,0
NEUTRAL,224,5,0
POSITIVE,136,4,0
NEUTRAL,154,5,0
NEUTRAL,86,5,0
NEGATIVE,79,4,0
NEGATIVE,111,4,0
NEGATIVE,111,4,0
POSITIVE,143,4,0
NEUTRAL,130,5,0
POSITIVE,222,4,0
NEGATIVE,94,4,0
POSITIVE,210,4,0
NEUTRAL,113,5,0
NEGATIVE,226,4,0
NEGATIVE,262,4,0
NEGATIVE,186,4,0
NEUTRAL,181,5,0
NEUTRAL,220,5,0
POSITIVE,107,4,0
NEGATIVE,105,4,0
POSITIVE,136,4,0
NEUTRAL,254,5,0
POSITIVE,115,4,0
POSITIVE,234,4,0
NEGATIVE,239,4,0
POSITIVE,141,4,0
NEGATIVE,106,4,0
NEUTRAL,119,5,0
NEUTRAL,122,5,0
NEUTRAL,232,5,0
NEGATIVE,122,4,0
NEGATIVE,163,4,0
POSITIVE,209,4,0
POSITIVE,207,4,0
NEUTRAL,170,5,0
NEGATIVE,155,4,0
POSITIVE,251,4,0
NEGATIVE,139,4,0
POSITIVE,221,4,0
NEGATIVE,142,4,0
NEGATIVE,95,4,0
NEUTRAL,154,5,0
NEGATIVE,167,4,0
POSITIVE,143,4,0
NEUTRAL,175,5,0
POSITIVE,83,4,0
NEGATIVE,120,4,0
NEGATIVE,246,4,0
POSITIVE,153,4,0
POSITIVE,209,4,0
NEUTRAL,111,5,0
POSITIVE,95,4,0
NEUTRAL,91,5,0
POSITIVE,84,4,0
NEGATIVE,240,4,0
